日付 (YYYYMMDD),題（タイトル）,カテゴリー,説明 ※3行以内,,,,,,,
20250203,オロチ狩り,イラスト,追われるオロチ＝これからのトークン価格上昇をイメージしました。,,,,,,,
20250204,オロチの夢守り,イラスト,金運・健康運アップの夢をお届け！特に白オロチは大吉。,,,,,,,
20250205,ウロボロス開運ステッカー,イラスト,運もエネルギーも巡る。無限のご利益を願って描きました。,,,,,,,
20250206,Token-Off,イラスト,トークン売らないで！！を表現しました。,,,,,,,
20250207,梅オロチ,イラスト,梅の香に導かれ、静かに運が芽吹く。春を待つ白オロチを描きました。,,,,,,,
20250208,カーネルオロチ,イラスト,気づけばカーネル風。クリプト界の味付けはオロチにお任せあれ。,,,,,,,
20250209,雲外蒼天,イラスト,希望と開運を胸に、上昇をイメージを表現しました。,,,,,,,
20250210,開運給湯器06℃,イラスト,06℃(オロチ)急上昇で温めます！,,,,,,,
20250211,デコオロチ,イラスト,思いつくまま自由にデコってみました。開運は個性の先にあると信じて。,,,,,,,
20250212,キンタロオロチ,イラスト,どこを切ってもオロチ。ぎっしり詰まった開運のかたまりを表現しました。,,,,,,,
20250213,寝スマホ厳禁,イラスト,目が潰れる前にストップ。小さな習慣の見直しが、開運の第一歩です。,,,,,,,
20250214,バレンタイン,イラスト,甘くとろけるご利益を込めて描きました。,,,,,,,
20250215,彫刻オロチ展,イラスト,美術館で湧いたインスピレーション。静かな癒しと開運を込めました。,,,,,,,
20250216,ボッチオロチ,イラスト,静かに、景色の中で開運を祈るオロチを描きました。,,,,,,,
20250217,鯉蛇,イラスト,オロチを放流。静かに満ちる運気とともに、願いが広がっていきますように。,,,,,,,
20250218,ガチホでいこうぜ！,イラスト,開運オロチからペパハンさんたちへの警鐘を表現した作品。,,,,,,,
20250219,おろチロー,イラスト,気象予報士とおろチローが運気と天気をお届けする作品。,,,,,,,
20250220,ヘビの執念,イラスト,トークン早押し争奪戦に挑む者の覚悟の忍耐と執念を描きました。,,,,,,,
20250221,オロチを描くオロチ,イラスト,オロチ自身が筆をとり開運創作した作品。,,,,,,,
20250222,オロマウス,イラスト,開運アイテムを想像したら目の前マウスがオロチなりました。,,,,,,,
20250223,うまれるやさしさ,イラスト,足りないからこそ生まれる思いやり。心と運の扉がそっと開きます。,,,,,,,
20250224,オロチ筆一閃,イラスト,運気を切り拓く力になると信じて描きました。,,,,,,,
20250225,オロチフェスティバル,イラスト,もしフェスがあるなら、全力でオロチ装って参戦。,,,,,,,
20250226,オロチェち,イラスト,砂浜に描いた開運の文字。少しくずれても、それもまたよき思い出。,,,,,,,
20250227,オロチックアート,イラスト,感じてもらえたらそれでOK。自由な線に開運を込めました。,,,,,,,
20250228,蛇獣戯画,イラスト,鳥獣戯画ならぬ蛇獣戯画。カエルもびっくり、でもこれは開運の追い風。,,,,,,,
20250301,オロチ世界遺産,イラスト,オロチがいつか世界遺産になって欲しいという思いを込めて作りました。,,,,,,,
20250302,ひなオロチ,イラスト,ひな人形になったオロチが、皆さまの健やかな成長と開運をお祈りします。,,,,,,,
20250303,開運波図,イラスト,波にオロチを乗せました。開運の波が富士を超える日を願って描きました。,,,,,,,
